"deployment_id","true_file_name","years_insitu","site","date_placed","date_pulled","easting","northing","depth","notes"
"2010-2011-AK","AK_2011.txt","2010-2011","WK","2010-10-15 18:00","2011-07-28 14:00","449252","4434450","Std","at hay & cairn; 180 deg 2.5 m fr cairn.ASPECT 135, SLOPE 12; REPOSITIONED W/IN SAME TERRITORY. Ashley estimated DatePulled and TimePulled"
"2010-2011-D","D_2011.txt","2010-2011","WK","2010-10-15 17:30","2011-07-28 08:00","449235","4434202","Std","at hay & cairn.ASPECT 140, SLOPE 14; PHOTO; PLACED IN SAME POSITION. Ashley estimated DatePulled and TimePulled"
"2010-2011-E","E_2011.txt","2010-2011","LL","2010-10-15 11:30","2011-08-02 13:00","449988","4435659","Std","Ashley estimated DatePulled and TimePulled"
"2010-2011-G","G_2011.txt","2010-2011","ML","2010-10-16 15:25","2011-08-08 10:40","449463","4437862","Std","ASPECT 165, SLOPE 34"
"2010-2011-H","H_2011.txt","2010-2011","LL","2010-10-15 11:20","2011-08-02 13:00","450037","4435635","Std","ASPECT 300, SLOPE 30"
"2010-2011-I","I_2011.txt","2010-2011","ML","2010-10-16 15:05","2011-08-08 09:30","449539","4437839","Std","ASPECT 200, SLOPE 1deg"
"2010-2011-J","J_2011.txt","2010-2011","WK","2010-10-15 18:00","2011-07-28 08:00","449305","4434187","Std","at hay & cairn; 55 deg 2 m fr cairn.ASPECT 120, SLOPE 10; PLACED IN SAME POSITION. Ashley estimated DatePulled and TimePulled"
"2010-2011-K","K_2011.txt","2010-2011","WK","2010-10-15 18:15","2011-07-28 08:00","449289","4434174","Std","under rock w/cairn.ASPECT 125, SLOPE 18. Ashley estimated DatePulled and TimePulled"
"2010-2011-LTER_PJ_1058335","Expt_LTER_PJ_1058335.csv","2010-2011","WK","2010-10-15 11:00","2011-07-20 09:00","449379","4434086","Deep","this sensor was/is at a snow pole in the deeper position. File not in 2013-HOBO-readouts. Ask Chris to find"
"2010-2011-LTER_PK_1058321","LTER_PK_1058321_2010-2013_missingSome2013.csv","2010-2011","WK","2010-10-15 12:00","2011-07-20 09:00","449379","4434086","Std","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.This sensor was in situ 2010-2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2010-2011-LTER_PN_1056611","LTER_PN_1056611_2010-2013_missingSome2013.csv","2010-2011","WK","2010-10-15 14:00","2011-07-20 08:00","450079","4434232","Deep","This sensor was in situ 2010-2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2010-2011-LTER_PQ_941256","LTER_PQ_941256_2010-2013_missingSome2013.csv","2010-2011","WK","2010-10-15 14:00","2011-07-20 08:00","449935","4434096","Std","This sensor was in situ 2010-2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2010-2011-LTER-P4-PD-1056608","LTER_P4_1056608_2011-2012.csv","2010-2011","WK","2010-10-15 12:00","2011-07-20 09:00","449443","4434301","Std","Ashley estimated DatePulled and TimePulled. Ashley estimated DatePlaced and TimePlaced b/c csv file has data starting in 2010"
"2010-2011-LTER-P5-PE-1058326","LTER_P5_1058326_2011-2012.csv","2010-2011","WK","2010-10-15 11:00","2011-07-20 09:00","449443","4434301","Deep","Ashley estimated DatePulled and TimePulled. Ashley estimated DatePlaced and TimePlaced b/c csv file has data starting in 2010"
"2010-2011-LTER-PL-941249","LTER_PL_941249_2010-2013_missingSome2013.csv","2010-2011","WK","2010-10-15 12:00","2011-07-20 10:00","449443","4434339","TBD","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.Sensor insitu 2010-2013. Stopped recording data in jan 2013"
"2010-2011-LTER-PO-1058334","LTER_PO_1058334_2010-2013_missingSome2013.csv","2010-2011","WK","2010-10-15 14:00","2011-07-20 08:00","450079","4434232","Std","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.this sensor was/is at a snow pole in the surface position.Sensor insitu 2010-2013. Stopped recording data in jan 2013. Ashley estimated DatePlaced TimePLaced, DatePulled, TimePulled"
"2010-2011-O","O_2011.txt","2010-2011","ML","2010-10-16 16:34","2011-08-06 13:40","449286","4437856","Std","ASPECT 205, SLOPE 10; PHOTO-CENTER"
"2010-2011-S","S_2011.txt","2010-2011","LL","2010-10-16 16:00","2011-07-03 10:00","TBD","TBD","Std","Placed in 2009, found in 2011. Ashley estimated DatePlace, TimePlaced, DatePulled, TimePulled. Ashley: original placed coords (449889,4435471), original pulled coords (450083,4435669); too inaccurate to average so changed to TBD for chris to evaluate"
"2010-2011-V","V_2011.txt","2010-2011","WK","2010-10-15 16:55","2011-07-28 11:00","449211","4434222","Std","ASPECT 115, SLOPE 8; 20deg 2.5m fr cairn; 30deg 25m fr shelter. Ashley estimated DatePulled and TimePulled"
"2010-2011-X","X_2011.txt","2010-2011","ML","2010-10-16 17:15","2011-08-06 10:50","449015","4437829","Std","ASPECT 175, SLOPE 17; PHOTO-CENTER"
"2010-2011-XI","XI_2011.txt","2010-2011","LL","2010-10-15 13:00","2011-08-02 12:40","449880","4435497","Std","ASPECT 315, SLOPE 33; KREAR TEMPERATURE STATION"
"2010-2011-XK","XK_2011.txt","2010-2011","ML","2010-10-16 15:45","2011-08-08 11:15","449407","4437882","Std","at hay & cairn.ASPECT 190, SLOPE 10; SAME POSITION AS 2009; PHOTO"
"2010-2011-Y","Y_2011.txt","2010-2011","ML","2010-10-16 16:45","2011-08-06 13:45","449300","4437833","Std","ASPECT 180, SLOPE 8; SAME POSITION AS 2009; PHOTO-CENTER"
"2011-2012-A","A_2012.txt","2011-2012","ML","2011-08-30 08:00","2012-10-13 09:30","449405","4437882","Std","south side of largest rock.this pika did duet w/unseen male. Temp sensor didn't start recording data until 8/28/2011 so Ashley estimated DatePlaced and TimePlaced to reflect this. Original DatePlaced was 8/15/2011."
"2011-2012-AA","AA_2012.txt","2011-2012","WK","2011-08-21 10:45","2012-10-08 11:00","449102","4434435","TBD",""
"2011-2012-AB","AB_2012.txt","2011-2012","ML","2011-09-15 15:00","2012-10-18 13:00","449301","4437836","Std","in trad HOBO location within trad hay complex under 20-inch wide flat dark-rust rock."
"2011-2012-AF","AF_2012.csv","2011-2012","WK","2011-08-23 11:19","2012-09-24 09:30","449231","4434286","TBD",""
"2011-2012-AG","AG_2012.txt","2011-2012","LL","2011-09-20 18:00","2012-10-10 14:00","449881","4435496","Deep","2 m underneath Krear post.Ashley estimated DatePulled and TimePulled"
"2011-2012-AH","AH_2012.txt","2011-2012","LL","2011-09-21 17:00","2012-10-10 10:00","450137","4435696","Std","upper RHS of talus patch along Niwot Cutoff trail on west side of trad hay rock that is white with black inclusions and split in half horizontally.Ashley estimated DatePulled and TimePulled"
"2011-2012-AJ","AJ_2012.txt","2011-2012","WK","2011-08-20 10:30","2012-10-08 11:40","449099","4434475","TBD","Shelter."
"2011-2012-AK","AK_2012.txt","2011-2012","WK","2011-08-22 10:52","2012-10-08 11:20","449098.5","4434448","TBD",""
"2011-2012-D","D_2012.txt","2011-2012","WK","2011-08-24 11:28","2012-10-08 13:40","449291","4434281","TBD",""
"2011-2012-E","E_2012.txt","2011-2012","LL","2011-09-20 18:00","2012-10-12 13:30","449895","4435523","Std","in trad haypile."
"2011-2012-G","G_2012.txt","2011-2012","ML","2011-09-15 16:00","2012-10-18 12:21","449476","4437828","Std","on east side of haypile on the western edge of the flat talus field."
"2011-2012-H","H_2012.txt","2011-2012","LL","2011-09-20 18:00","2012-10-12 12:00","449966","4435639","Std","1 m east of ""trad haypile near small conifer""."
"2011-2012-I","I_2012.txt","2011-2012","ML","2011-09-15 15:30","2012-10-13 14:15","448986.5","4437847","Std","wedged between rocks in an upward-slanting crack (only moved a few meters upslope from Gerardo's location).We tagged one here in Aug 2012, suggesting the previous owner died"
"2011-2012-J","J_2012.txt","2011-2012","WK","2011-08-19 10:19","2012-10-08 12:20","449126","4434542.5","Std","By Alabama look alike Rock!."
"2011-2012-K","K_2012.txt","2011-2012","WK","2011-08-26 11:51","2012-09-24 08:30","449294","4434150","Std","by long Rock.Re-placed in same position as 2011 (2011 coords must have been poor)"
"2011-2012-LTER_PJ_1058335","Expt_LTER_PJ_1058335.csv","2011-2012","WK","2011-10-10 16:00","2012-10-10 15:00","449379","4434086","Deep","this sensor was/is at a snow pole in the deeper position. File not in 2013-HOBO-readouts. Ask Chris to find"
"2011-2012-LTER_PK_1058321","LTER_PK_1058321_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-15 12:00","2012-10-10 13:00","449379","4434086","Std","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2011-2012-LTER_PN_1056611","LTER_PN_1056611_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-15 14:00","2012-10-10 13:00","450079","4434232","Deep","This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the deeper position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
