149
 1 2 7 12
 2 3 7 8 13
 3 3 8 9 14
 4 3 9 10 15
 5 3 10 11 16
 6 2 11 17
 7 5 1 2 12 13 18
 8 5 2 3 13 14 19
 9 5 3 4 14 15 20
 10 5 4 5 15 16 21
 11 5 5 6 16 17 22
 12 4 1 7 18 23
 13 6 2 7 8 18 19 24
 14 6 3 8 9 19 20 25
 15 6 4 9 10 20 21 26
 16 6 5 10 11 21 22 27
 17 4 6 11 22 28
 18 6 7 12 13 23 24 29
 19 6 8 13 14 24 25 30
 20 6 9 14 15 25 26 31
 21 6 10 15 16 26 27 32
 22 6 11 16 17 27 28 33
 23 4 12 18 29 34
 24 6 13 18 19 29 30 35
 25 6 14 19 20 30 31 36
 26 6 15 20 21 31 32 37
 27 6 16 21 22 32 33 38
 28 4 17 22 33 39
 29 6 18 23 24 34 35 40
 30 6 19 24 25 35 36 41
 31 6 20 25 26 36 37 42
 32 6 21 26 27 37 38 43
 33 6 22 27 28 38 39 44
 34 4 23 29 40 45
 35 6 24 29 30 40 41 46
 36 6 25 30 31 41 42 47
 37 6 26 31 32 42 43 48
 38 6 27 32 33 43 44 49
 39 4 28 33 44 50
 40 6 29 34 35 45 46 51
 41 6 30 35 36 46 47 52
 42 6 31 36 37 47 48 53
 43 6 32 37 38 48 49 54
 44 6 33 38 39 49 50 55
 45 4 34 40 51 56
 46 6 35 40 41 51 52 57
 47 6 36 41 42 52 53 58
 48 6 37 42 43 53 54 59
 49 6 38 43 44 54 55 60
 50 4 39 44 55 61
 51 6 40 45 46 56 57 62
 52 6 41 46 47 57 58 63
 53 6 42 47 48 58 59 64
 54 6 43 48 49 59 60 65
 55 6 44 49 50 60 61 66
 56 4 45 51 62 67
 57 6 46 51 52 62 63 68
 58 6 47 52 53 63 64 69
 59 6 48 53 54 64 65 70
 60 6 49 54 55 65 66 71
 61 4 50 55 66 72
 62 6 51 56 57 67 68 73
 63 6 52 57 58 68 69 74
 64 6 53 58 59 69 70 75
 65 6 54 59 60 70 71 76
 66 6 55 60 61 71 72 77
 67 4 56 62 73 78
 68 6 57 62 63 73 74 79
 69 6 58 63 64 74 75 80
 70 6 59 64 65 75 76 81
 71 6 60 65 66 76 77 82
 72 4 61 66 77 83
 73 6 62 67 68 78 79 84
 74 6 63 68 69 79 80 85
 75 6 64 69 70 80 81 86
 76 6 65 70 71 81 82 87
 77 6 66 71 72 82 83 88
 78 4 67 73 84 89
 79 6 68 73 74 84 85 90
 80 6 69 74 75 85 86 91
 81 6 70 75 76 86 87 92
 82 6 71 76 77 87 88 93
 83 4 72 77 88 94
 84 6 73 78 79 89 90 95
 85 6 74 79 80 90 91 96
 86 6 75 80 81 91 92 97
 87 6 76 81 82 92 93 98
 88 6 77 82 83 93 94 99
 89 4 78 84 95 100
 90 6 79 84 85 95 96 101
 91 6 80 85 86 96 97 102
 92 6 81 86 87 97 98 103
 93 6 82 87 88 98 99 104
 94 4 83 88 99 105
 95 6 84 89 90 100 101 106
 96 6 85 90 91 101 102 107
 97 6 86 91 92 102 103 108
 98 6 87 92 93 103 104 109
 99 6 88 93 94 104 105 110
 100 4 89 95 106 111
 101 6 90 95 96 106 107 112
 102 6 91 96 97 107 108 113
 103 6 92 97 98 108 109 114
 104 6 93 98 99 109 110 115
 105 4 94 99 110 116
 106 6 95 100 101 111 112 117
 107 6 96 101 102 112 113 118
 108 6 97 102 103 113 114 119
 109 6 98 103 104 114 115 120
 110 6 99 104 105 115 116 121
 111 4 100 106 117 122
 112 6 101 106 107 117 118 123
 113 6 102 107 108 118 119 124
 114 6 103 108 109 119 120 125
 115 6 104 109 110 120 121 126
 116 4 105 110 121 127
 117 6 106 111 112 122 123 128
 118 6 107 112 113 123 124 129
 119 6 108 113 114 124 125 130
 120 6 109 114 115 125 126 131
 121 6 110 115 116 126 127 132
 122 4 111 117 128 133
 123 6 112 117 118 128 129 134
 124 6 113 118 119 129 130 135
 125 6 114 119 120 130 131 136
 126 6 115 120 121 131 132 137
 127 4 116 121 132 138
 128 6 117 122 123 133 134 139
 129 6 118 123 124 134 135 140
 130 6 119 124 125 135 136 141
 131 6 120 125 126 136 137 142
 132 6 121 126 127 137 138 143
 133 4 122 128 139 144
 134 6 123 128 129 139 140 145
 135 6 124 129 130 140 141 146
 136 6 125 130 131 141 142 147
 137 6 126 131 132 142 143 148
 138 4 127 132 143 149
 139 5 128 133 134 144 145
 140 5 129 134 135 145 146
 141 5 130 135 136 146 147
 142 5 131 136 137 147 148
 143 5 132 137 138 148 149
 144 2 133 139
 145 3 134 139 140
 146 3 135 140 141
 147 3 136 141 142
 148 3 137 142 143
 149 2 138 143
