uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
1175,2021,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1176,2021,WA,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,snorkelling
1177,2021,WA,coastal,white shark,Carcharodon carcharias ,provoked,spearfishing
1178,2021,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1179,2021,WA,island open ocean,lemon shark,Negaprion brevirostris,provoked,motorised boating
1180,2021,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
1181,2021,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1182,2021,QLD,island open ocean,NA,NA,unprovoked,swimming
1183,2021,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
1184,2021,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
1185,2021,VIC,coastal,NA,NA,unprovoked,NA
1186,2021,VIC,coastal,NA,NA,unprovoked,boarding
1187,2021,QLD,island open ocean,bull shark,Carcharhinus leucas,provoked,spearfishing
1188,2022,NSW,coastal,whaler shark,Carcharhinidae,unprovoked,swimming
1189,2022,NSW,coastal,wobbegong,Orectolobidae,unprovoked,swimming
1190,2022,WA,coastal,wobbegong,Orectolobidae,unprovoked,snorkelling
1191,2022,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
