uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
903,2010,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
904,2010,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
905,2010,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
906,2010,NSW,island open ocean,white shark,Carcharodon carcharias ,unprovoked,boarding
907,2010,WA,Coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
908,2010,NSW,coastal,wobbegong,Orectolobidae,unprovoked,boarding
909,2010,WA,island open ocean,white shark,Carcharodon carcharias ,unprovoked,snorkelling
910,2011,SA,island open ocean,white shark,Carcharodon carcharias ,provoked,diving
911,2011,WA,coastal,whaler shark,Carcharhinidae,unprovoked,snorkelling
912,2011,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
913,2011,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
914,2011,WA,coastal,whaler shark,Carcharhinidae,provoked,fishing
915,2011,NSW,coastal,wobbegong,Orectolobidae,provoked,diving
916,2011,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
917,2011,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
918,2011,WA,island open ocean,white shark,Carcharodon carcharias ,unprovoked,diving
919,2011,VIC,coastal,port jackson shark,Heterodontus portusjacksoni,provoked,diving
920,2011,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
921,2011,QLD,island open ocean,wobbegong,Orectolobidae,provoked,swimming
922,2011,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
923,2011,NSW,coastal,wobbegong,Orectolobidae,provoked,boarding
924,2011,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
925,2012,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
926,2012,NSW,estuary/harbour,tiger shark,Galeocerdo cuvier ,provoked,spearfishing
927,2012,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
928,2012,WA,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,snorkelling
929,2012,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
930,2012,NSW,island open ocean,wobbegong,Orectolobidae,provoked,fishing
931,2012,QLD,coastal,whaler shark,Carcharhinidae,unprovoked,boarding
932,2012,QLD,coastal,bull shark,Carcharhinus leucas,provoked,boarding
933,2012,NSW,coastal,NA,NA,unprovoked,unmotorised boating
934,2012,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,diving
935,2012,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,unmotorised boating
936,2012,NSW,ocean/pelagic,wobbegong,Orectolobidae,provoked,diving
937,2012,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,unmotorised boating
938,2012,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
939,2012,TAS,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
940,2012,WA,coastal,white shark,Carcharodon carcharias ,unprovoked,unmotorised boating
941,2012,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
942,2012,WA,Coastal,white shark,Carcharodon carcharias ,unprovoked,boarding
943,2012,WA,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,boarding
