Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2023-01-01,NA,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-02,NA,1,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-03,NA,1,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-04,NA,1,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-05,NA,1,NA,10,5,NA,-1,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-06,NA,1,NA,11,7,NA,-1,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-07,NA,1,NA,12,7,NA,-4,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-08,NA,1,NA,12,7,NA,-4,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-09,NA,1,1,20,13,NA,-4,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-10,NA,1,1,23,14,NA,-6,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-11,NA,1,1,24,14,NA,-6,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-12,NA,1,1,30,16,NA,-6,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-13,NA,1,1,36,18,NA,-6,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-14,NA,1,1,33,18,NA,-6,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-15,NA,1,1,36,20,NA,-7,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-16,NA,1,1,44,24,NA,-7,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-17,NA,1,1,52,29,NA,-9,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-18,NA,1,1,58,30,NA,-10,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-19,NA,1,1,60,30,NA,-11,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-20,NA,1,1,63,29,NA,-11,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-21,NA,1,1,63,29,NA,-11,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-22,NA,1,1,66,30,NA,-11,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-23,NA,1,1,66,30,NA,-11,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-24,NA,1,1,72,33,NA,-12,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-25,NA,1,1,70,32,NA,-12,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-26,NA,1,1,70,32,NA,-13,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-27,NA,1,1,71,35,NA,-13,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-28,NA,1,1,75,36,NA,-13,NA,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-29,NA,1,1,78,36,NA,-14,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-30,NA,1,1,85,39,NA,-14,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-01-31,NA,1,1,87,40,NA,-14,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-01,NA,1,1,91,42,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-02,NA,1,1,95,46,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-03,NA,1,1,102,50,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-04,NA,1,1,107,52,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-05,NA,1,1,115,55,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-06,NA,1,1,125,58,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-07,NA,1,1,141,63,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-08,NA,1,1,151,67,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-09,NA,1,1,160,68,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-10,NA,1,1,159,66,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-11,NA,1,1,166,68,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-12,NA,1,1,171,69,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-13,NA,1,1,173,69,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-14,NA,1,1,178,69,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-15,NA,1,1,184,72,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-16,NA,1,1,184,72,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-17,NA,1,1,191,73,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-18,NA,1,1,194,75,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-19,NA,1,1,205,78,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-20,NA,1,1,215,81,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-21,NA,1,1,255,97,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-22,NA,2,1,274,105,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-23,NA,2,1,282,108,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-24,NA,2,1,285,111,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-25,NA,2,1,285,111,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-26,NA,2,1,285,111,NA,-15,-1,NA,NA,NA,NA,NA,NA
Bonneville,2023-02-27,NA,2,1,289,112,NA,-15,-1,NA,NA,NA,NA,NA,NA
