year,park,month,visits
2008,dvnp,sep,109326
2008,dvnp,oct,71902
2008,dvnp,nov,51181
2008,dvnp,dec,29099
2007,dvnp,jan,33933
2007,dvnp,feb,31820
2007,dvnp,mar,62036
2007,dvnp,apr,62265
2007,dvnp,may,66975
2007,dvnp,jun,50866
2007,dvnp,jul,57166
2007,dvnp,aug,72478
2007,dvnp,sep,63281
2007,dvnp,oct,82269
2007,dvnp,nov,65588
2007,dvnp,dec,55445
2006,dvnp,jan,47518
2006,dvnp,feb,57656
2006,dvnp,mar,79684
2006,dvnp,apr,77945
2006,dvnp,may,71881
2006,dvnp,jun,50011
2006,dvnp,jul,56990
2006,dvnp,aug,81482
2006,dvnp,sep,80212
2006,dvnp,oct,74215
2006,dvnp,nov,29970
2006,dvnp,dec,36876
2005,dvnp,jan,26104
2005,dvnp,feb,37201
2005,dvnp,mar,128271
2005,dvnp,apr,99117
2005,dvnp,may,56257
2005,dvnp,jun,26718
2005,dvnp,jul,79294
2005,dvnp,aug,75828
2005,dvnp,sep,84526
2005,dvnp,oct,73927
2005,dvnp,nov,62003
2005,dvnp,dec,50867
2004,dvnp,jan,52401
2004,dvnp,feb,64861
2004,dvnp,mar,96111
2004,dvnp,apr,96662
2004,dvnp,may,77981
2004,dvnp,jun,60618
2004,dvnp,jul,80405
2004,dvnp,aug,50191
2004,dvnp,sep,59984
2004,dvnp,oct,52428
2004,dvnp,nov,46480
2004,dvnp,dec,26698
2024,cnps,jan,17055
2024,cnps,feb,14888
2024,cnps,mar,23069
2024,cnps,apr,22081
2024,cnps,may,23374
2024,cnps,jun,26180
2024,cnps,jul,32816
2024,cnps,aug,26380
2024,cnps,sep,20251
2024,cnps,oct,23694
2024,cnps,nov,17900
2024,cnps,dec,14893
2023,cnps,jan,12950
2023,cnps,feb,19726
2023,cnps,mar,25063
2023,cnps,apr,27243
2023,cnps,may,30918
2023,cnps,jun,36635
2023,cnps,jul,38390
2023,cnps,aug,31076
2023,cnps,sep,31607
2023,cnps,oct,28935
2023,cnps,nov,27115
2023,cnps,dec,19088
2022,cnps,jan,16968
2022,cnps,feb,21175
2022,cnps,mar,25048
2022,cnps,apr,30769
2022,cnps,may,23636
2022,cnps,jun,30138
2022,cnps,jul,37853
2022,cnps,aug,33844
2022,cnps,sep,31120
2022,cnps,oct,27647
2022,cnps,nov,27468
2022,cnps,dec,17579
2021,cnps,jan,1684
2021,cnps,feb,13176
2021,cnps,mar,13914
2021,cnps,apr,22512
2021,cnps,may,28239
2021,cnps,jun,40977
2021,cnps,jul,41381
2021,cnps,aug,36839
2021,cnps,sep,37121
2021,cnps,oct,35612
2021,cnps,nov,30330
2021,cnps,dec,17467
2020,cnps,jan,18955
2020,cnps,feb,20318
2020,cnps,mar,13408
2020,cnps,apr,365
2020,cnps,may,2514
2020,cnps,jun,13740
2020,cnps,jul,15323
2020,cnps,aug,18462
2020,cnps,sep,18147
2020,cnps,oct,26302
2020,cnps,nov,16745
2020,cnps,dec,3011
2019,cnps,jan,9193
2019,cnps,feb,22263
2019,cnps,mar,34951
2019,cnps,apr,39218
2019,cnps,may,39070
2019,cnps,jun,44915
2019,cnps,jul,47581
2019,cnps,aug,49793
2019,cnps,sep,38681
2019,cnps,oct,36691
2019,cnps,nov,25212
2019,cnps,dec,22062
2018,cnps,jan,15986
2018,cnps,feb,24878
2018,cnps,mar,30668
2018,cnps,apr,37565
2018,cnps,may,33616
2018,cnps,jun,39141
2018,cnps,jul,49533
2018,cnps,aug,39684
2018,cnps,sep,31267
2018,cnps,oct,26844
2018,cnps,nov,21703
2018,cnps,dec,15365
2017,cnps,jan,18887
2017,cnps,feb,20325
2017,cnps,mar,32263
2017,cnps,apr,33888
2017,cnps,may,37528
2017,cnps,jun,44852
2017,cnps,jul,56194
2017,cnps,aug,40750
2017,cnps,sep,33063
2017,cnps,oct,25495
2017,cnps,nov,23696
2017,cnps,dec,16746
2016,cnps,jan,15710
2016,cnps,feb,20168
2016,cnps,mar,28054
2016,cnps,apr,26142
2016,cnps,may,33476
2016,cnps,jun,39342
2016,cnps,jul,49119
2016,cnps,aug,45123
2016,cnps,sep,39450
2016,cnps,oct,28906
2016,cnps,nov,20029
2016,cnps,dec,19288
2015,cnps,jan,19847
2015,cnps,feb,21653
2015,cnps,mar,29901
2015,cnps,apr,23479
2015,cnps,may,34023
2015,cnps,jun,33193
2015,cnps,jul,46749
2015,cnps,aug,35392
2015,cnps,sep,24994
2015,cnps,oct,21871
2015,cnps,nov,18913
2015,cnps,dec,14801
2014,cnps,jan,18927
2014,cnps,feb,21183
2014,cnps,mar,32109
2014,cnps,apr,25698
2014,cnps,may,32869
2014,cnps,jun,43584
2014,cnps,jul,50470
2014,cnps,aug,39208
2014,cnps,sep,27100
2014,cnps,oct,18271
2014,cnps,nov,17923
2014,cnps,dec,14819
2013,cnps,jan,12800
2013,cnps,feb,10671
2013,cnps,mar,15541
2013,cnps,apr,18927
2013,cnps,may,21009
2013,cnps,jun,24797
2013,cnps,jul,27997
2013,cnps,aug,26273
2013,cnps,sep,18851
2013,cnps,oct,7193
